1768291340609|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 1     ORDER BY sort_order ASC, created_at DESC
1768291372777|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT b.*           ,'board' AS parent_table     FROM board b     ORDER BY created_at DESC|SELECT b.*           ,'board' AS parent_table     FROM board b     ORDER BY created_at DESC
1768291372779|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 1     ORDER BY sort_order ASC, created_at DESC
1768291372780|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 2     ORDER BY sort_order ASC, created_at DESC
1768291372783|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 3     ORDER BY sort_order ASC, created_at DESC
1768291372784|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 4     ORDER BY sort_order ASC, created_at DESC
1768291372786|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 5     ORDER BY sort_order ASC, created_at DESC
1768294052652|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT b.*           ,'board' AS parent_table     FROM board b     ORDER BY created_at DESC|SELECT b.*           ,'board' AS parent_table     FROM board b     ORDER BY created_at DESC
1768294052653|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 1     ORDER BY sort_order ASC, created_at DESC
1768294052654|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 2     ORDER BY sort_order ASC, created_at DESC
1768294052656|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 3     ORDER BY sort_order ASC, created_at DESC
1768294052657|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 4     ORDER BY sort_order ASC, created_at DESC
1768294052659|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 5     ORDER BY sort_order ASC, created_at DESC
1768294063391|3|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|INSERT INTO board ( id, title, writer, content )     VALUES ( ?, ?, ?, ? )|INSERT INTO board ( id, title, writer, content )     VALUES ( 'a08cc784-9469-49cc-8d7d-7b86a69bec00', 'ㅎㅎ', 'ㅎㅎ', 'ㅎㅎ' )
1768294063409|4|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|INSERT INTO file (        id, parent_table, parent_no, name, path, size, content_type, sort_order, is_main     )     VALUES (        ?, ?, ?, ?, ?, ?, ?, ?, ?     )|INSERT INTO file (        id, parent_table, parent_no, name, path, size, content_type, sort_order, is_main     )     VALUES (        'dbfb20ce-b4a1-4fa8-b3a7-33d02d88009c', 'board', 6, '1.png', 'C:/upload/5351946b-2529-4d4b-96a4-1172adb0f443_1.png', 91261, 'image/png', 0, true     )
1768294063424|3|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|INSERT INTO file (        id, parent_table, parent_no, name, path, size, content_type, sort_order, is_main     )     VALUES (        ?, ?, ?, ?, ?, ?, ?, ?, ?     )|INSERT INTO file (        id, parent_table, parent_no, name, path, size, content_type, sort_order, is_main     )     VALUES (        'fd9ef30a-cdd7-4255-9ac6-9210164d6b02', 'board', 6, '2.png', 'C:/upload/4dc6d50c-6602-4ada-9adf-f0c54b3d3ebf_2.png', 97425, 'image/png', 1, NULL     )
